validation_id,model_id,runtime_secs,PinballLoss_fold_0_test,PinballLoss_fold_1_test,PinballLoss_fold_2_test,PinballLoss_fold_3_test,PinballLoss_fold_4_test,PinballLoss_fold_5_test,PinballLoss_fold_6_test,PinballLoss_fold_7_test,PinballLoss_fold_8_test,PinballLoss_fold_9_test,PinballLoss_fold_10_test,PinballLoss_fold_11_test,PinballLoss_mean,PinballLoss_std,MeanSquaredError_fold_0_test,MeanSquaredError_fold_1_test,MeanSquaredError_fold_2_test,MeanSquaredError_fold_3_test,MeanSquaredError_fold_4_test,MeanSquaredError_fold_5_test,MeanSquaredError_fold_6_test,MeanSquaredError_fold_7_test,MeanSquaredError_fold_8_test,MeanSquaredError_fold_9_test,MeanSquaredError_fold_10_test,MeanSquaredError_fold_11_test,MeanSquaredError_mean,MeanSquaredError_std
p04,StatsForecastAutoTheta-decomposition_type_multiplicative,20.517430305480957,0.17727108333880703,0.1854434298516976,0.3280052515705192,0.1976982722038197,0.31410528139107796,0.3707159891858465,0.20129626330402184,0.27643142043716384,0.19780685934134656,0.19618753194084604,0.3550652793463734,,0.25454787835559267,0.07514050211074326,0.9573714337190087,1.480000277647454,2.3222479665680216,1.9561482905301182,2.310842739769467,2.895021322915388,2.6645240464377493,3.121410874109988,1.3396170476886649,1.2460493086495934,4.333388827528695,,2.2387838305058314,0.9940894080194587
p10,AutoETS-auto_True,0.7493677139282227,0.3104341820290941,0.38514624185809215,0.3695813705852214,0.35837968597074543,0.3759029486019617,0.3770869560661799,0.3873345829196868,0.38027416872981,0.3908296525261308,0.3836898685537283,0.3871347437616529,,0.37325403650930045,0.02280839406397248,1.8593349390066478,2.7186689413014924,1.5615828252341275,2.7739492512892,2.8321843369955095,1.8843173367308688,2.4989764224768853,0.9840385583928195,1.3332535321136643,1.2662090677562647,1.9989373606480485,,1.9737684156314117,0.6549793277119224
p10,StatsForecastAutoCES-model_Z,41.74967408180237,0.524551112163398,0.9892958499573996,0.41141300973792866,0.7793473446079424,0.8364787358832027,0.6085147670408092,0.8694168990312354,0.13273680810299188,0.2611682304988304,0.0583570848322577,0.2608081762327088,,0.5210989107353368,0.32041305751772287,2.171053568020697,3.0189445567718014,1.5148056711825961,2.3734528636997707,2.588711023076884,2.0391501927716327,2.5214130639073424,0.7207981150055028,1.0805065653194228,0.45044572569371694,1.1295621769300679,,1.7826221383981307,0.8475372859358041
p10,StatsForecastAutoETS-model_ANN,0.17540740966796875,0.2246401331887384,0.29935938756145775,0.12626304288190215,0.2332129012800938,0.33468447996534806,0.2543566860540002,0.26053338665738857,0.13844280490291094,0.13505269677761172,0.13371318323326922,0.13378479055302306,,0.20673122664143123,0.07620101183666797,1.9450113967360696,2.668046517412013,1.6684408557059756,2.178286965696203,2.3452298542165724,1.8730545462781267,2.2049736448110866,1.0490074682435448,1.6549255698832421,0.7700024678603715,0.7185171106778345,,1.7341360361382767,0.6457070513891453
p10,StatsForecastAutoETS-model_MNN,0.20435857772827148,0.2127626315492795,0.3221102588902621,0.16521937867641526,0.39074043839648404,0.4047969922428975,0.24824106796743514,0.2951793178796814,0.17199812373744677,0.19446640315441394,0.15466279243552966,0.13088071173575513,,0.24464164696960006,0.09577031839484228,1.9450113967360696,2.668046517412013,1.6684408557059756,2.178286965696203,2.3452298542165724,1.8730545462781267,2.2049736448110866,1.0490074682435448,1.6549255698832421,0.7700024678603715,0.7185171106778345,,1.7341360361382767,0.6457070513891453
p10,StatsForecastAutoTheta-decomposition_type_additive,21.1218364238739,0.25612042860438433,0.35704367769571665,0.13498603166391457,0.27863152305007055,0.37067787781946326,0.27130849577072624,0.2758302706855144,0.1412613339432412,0.13789781837827633,0.13760140333531634,0.13720395509567523,,0.22714207418566357,0.09231914594316017,1.9405870618645147,2.666913970427595,1.6695913781489262,2.178306765276786,2.3457779487114383,1.8730268604931932,2.204165027784733,1.049306948035864,1.6557910879066629,0.7692618283556318,0.7195444503206652,,1.7338430297569103,0.6452891044186111
p10,StatsForecastAutoTheta-decomposition_type_multiplicative,19.87853217124939,0.25612042860438433,0.35704367769571665,0.13498603166391457,0.27863152305007055,0.37067787781946326,0.27130849577072624,0.2758302706855144,0.1412613339432412,0.13789781837827633,0.13760140333531634,0.13720395509567523,,0.22714207418566357,0.09231914594316017,1.9405870618645147,2.666913970427595,1.6695913781489262,2.178306765276786,2.3457779487114383,1.8730268604931932,2.204165027784733,1.049306948035864,1.6557910879066629,0.7692618283556318,0.7195444503206652,,1.7338430297569103,0.6452891044186111
p11,AutoETS-auto_True,0.7221574783325195,0.3290653924050482,0.39998369989918114,0.4130921429962031,0.43906628286487537,0.43678563638898116,0.44233964708648876,0.49233741923419116,0.49485164807874976,0.4915044580587095,0.4922994202614139,0.49744613818626016,,0.4480701714054638,0.05326162209664725,2.2214956202203893,1.5593654571993654,4.794911639833518,2.8315506005893645,3.0375046864476176,3.99451633776013,3.649583569278497,1.7305489894403583,4.811221609252752,3.158587229753519,0.6899036675003323,,2.9526535824796216,1.3256347217994937
p11,StatsForecastAutoCES-model_Z,42.55020833015442,0.6629948210302326,0.42623204007744786,2.0941956259889736,1.328212412190106,1.289183738703529,0.8508272790412109,0.3398772590193484,0.32089780993759626,1.3968045114974188,1.0018410785496235,0.33681344500846333,,0.9134436382767226,0.5714414008789823,2.347436767708851,1.6772703523068315,5.7731552144987734,3.5133126264054355,3.675206085150289,2.6578541985840203,1.4860660064652782,1.358940503486499,4.254304213110569,3.501775371311846,1.3941123541738885,,2.87631215392748,1.4114892419446132
p11,StatsForecastAutoETS-model_ANN,0.16585755348205566,0.17796438206857046,0.21640052287643652,1.1397376271910347,0.2936304403719707,0.26133369900063547,0.23258813644435478,0.19484244964824976,0.19336841010977623,0.8548589464485695,0.2192968177999275,0.19318713847883673,,0.36156441549439655,0.32243569259928084,2.157062044566192,1.8199259594945338,5.485368330307117,3.112751543621195,3.2436129590131086,3.3818390601112305,1.7338415939821672,1.352209591498946,4.846275775963321,2.76705519763882,0.9124360278123158,,2.8011252803644493,1.4213467075767467
p11,StatsForecastAutoETS-model_MNN,0.16437721252441406,0.23036382225016663,0.21482732826204087,1.4170721791414764,0.3073226180502513,0.26535356628485335,0.25078021051081617,0.2528445095875077,0.1835772428586035,0.6050061703090075,0.29871888181642275,0.1665594642135187,,0.3811296357531513,0.36302106042516213,2.157062044382138,1.8199259594945338,5.485368330307117,3.112751543621195,3.2436129590131086,3.3818390601112305,1.7338415939821672,1.352209591498946,4.846275775963321,2.767055197638819,0.9124360278123158,,2.8011252803477174,1.421346707585087
p11,StatsForecastAutoTheta-decomposition_type_additive,23.101943492889404,0.22382747842205916,0.20569158411688276,1.2393084763528577,0.3152991487810184,0.3268699054399301,0.18785409265922182,0.19042448838551845,0.19973044598992498,0.7700696421249044,0.25425662865241383,0.1972864474159562,,0.3736925762127898,0.33263519436264183,2.1570560545475668,1.8212031323357671,5.4966956011238475,3.1163739366887526,3.245628078630288,3.3808619482874476,1.7291117359154315,1.3521625259862584,4.846915839057089,2.770339174082644,0.91460287429964,,2.802813718268612,1.4236600479779253
p11,StatsForecastAutoTheta-decomposition_type_multiplicative,21.766089916229248,0.22382747842205916,0.20569158411688276,1.2393084763528577,0.3152991487810184,0.3268699054399301,0.18785409265922182,0.19042448838551845,0.19973044598992498,0.7700696421249044,0.25425662865241383,0.1972864474159562,,0.3736925762127898,0.33263519436264183,2.1570560545475668,1.8212031323357671,5.4966956011238475,3.1163739366887526,3.245628078630288,3.3808619482874476,1.7291117359154315,1.3521625259862584,4.846915839057089,2.770339174082644,0.91460287429964,,2.802813718268612,1.4236600479779253
