validation_id,model_id,runtime_secs,MeanSquaredError_fold_0_test,MeanSquaredError_fold_1_test,MeanSquaredError_fold_2_test,MeanSquaredError_fold_3_test,MeanSquaredError_fold_4_test,MeanSquaredError_fold_5_test,MeanSquaredError_fold_6_test,MeanSquaredError_fold_7_test,MeanSquaredError_fold_8_test,MeanSquaredError_fold_9_test,MeanSquaredError_fold_10_test,MeanSquaredError_fold_11_test,MeanSquaredError_fold_12_test,MeanSquaredError_fold_13_test,MeanSquaredError_fold_14_test,MeanSquaredError_fold_15_test,MeanSquaredError_fold_16_test,MeanSquaredError_fold_17_test,MeanSquaredError_fold_18_test,MeanSquaredError_fold_19_test,MeanSquaredError_fold_20_test,MeanSquaredError_fold_21_test,MeanSquaredError_fold_22_test,MeanSquaredError_fold_23_test,MeanSquaredError_fold_24_test,MeanSquaredError_fold_25_test,MeanSquaredError_fold_26_test,MeanSquaredError_fold_27_test,MeanSquaredError_fold_28_test,MeanSquaredError_mean,MeanSquaredError_std,MeanSquaredError_fold_29_test
p03,StatsForecastAutoTheta-decomposition_type_additive,141.83679056167603,1.4236685374835198,2.38718544087085,0.9536934851073777,5.470455009236595,5.193412666190732,9.751781866703991,2.385520058832849,2.530877319064504,2.1357488291499767,2.1356002836827472,2.7641251204401533,2.6249818206497113,2.5984530768304244,6.01130096090468,5.817673059034391,2.5386648626792088,10.201329618056093,3.7688345237691068,4.904445177948699,2.845914522591617,0.7905559672132262,2.423605301421938,2.203858637807481,8.154182999330596,6.337291213955313,5.756351857651603,6.960127503889812,3.1416917346300637,6.249441929021176,4.08402655479181,2.507634962013349,2.060023259605894
p03,StatsForecastAutoTheta-decomposition_type_multiplicative,137.49383878707886,1.4236685374835198,2.38718544087085,0.9536934851073777,5.470455009236595,5.193412666190732,9.751781866703991,2.385520058832849,2.530877319064504,2.1357488291499767,2.1356002836827472,2.7641251204401533,2.6249818206497113,2.5984530768304244,6.01130096090468,5.817673059034391,2.5386648626792088,10.201329618056093,3.7688345237691068,4.904445177948699,2.845914522591617,0.7905559672132262,2.423605301421938,2.203858637807481,8.154182999330596,6.337291213955313,5.756351857651603,6.960127503889812,3.1416917346300637,6.249441929021176,4.08402655479181,2.507634962013349,2.060023259605894
p04,AutoETS-auto_True,1.1800127029418945,1.0215271626999636,0.5428648921178475,1.5714644879831625,0.9153157833445954,2.753377900471188,1.4889817316606637,0.6246328098482404,1.6748090632222796,2.3169055324653995,2.3172696275682356,3.0766800587759993,3.777303153834124,4.068971360695899,3.7821977824979474,1.6920601615530553,9.466977649449781,2.6431605142762806,1.8741413048392328,1.834518893859462,4.258364843603105,3.8538336917762024,1.5276426685234759,1.698586970487561,1.664362746131845,1.0292120181488007,3.708979519198341,1.1385730149692197,1.8313221486227789,,2.4340727675937393,1.762487219742752,
p04,StatsForecastAutoCES-model_Z,0.930793046951294,1.1977562797242713,0.7503198357591044,1.5002665453227397,0.8918803992299575,2.5839412626269254,1.7669897487588841,1.3859365951955702,3.01851004853931,2.2891095827382677,1.9079776786097014,3.3311392060397926,3.23167138683977,3.0574990778115216,2.258605621888255,2.5802594706921522,7.729695197486876,1.4897376434627234,4.006198118351338,1.2259083969111226,2.1108660761915763,3.3098309449706265,2.4826593303818694,1.7940793368486811,2.0687214660335465,0.5830126344275778,2.9017599723565604,1.587290847468342,2.5031138710534844,,2.340883449132876,1.3622999104424458,
p04,StatsForecastAutoETS-model_ANN,0.3170440196990967,0.9615530118670443,0.5428832494039204,1.4800984857725084,0.9803132645266632,2.3222061637453453,1.7249899860067097,1.951470746977421,2.5605772388401316,2.310844001532052,1.3362260301351672,2.89586900312525,4.129973743626782,2.667625198396396,2.1068041673678333,3.1170003220473577,7.63028342909667,1.341774107254955,3.0795478586581084,1.2475928932760758,3.192010651861834,4.332476802656734,3.7637242232615598,1.958541321094224,1.4955454222976545,0.9433244984610056,2.6638721602469095,1.0039505281345007,1.9243685845912164,,2.345194539080787,1.4388896171744325,
p04,StatsForecastAutoETS-model_MNN,0.3092010021209717,0.9615530118670443,0.5428832494039204,1.4800984857725084,0.9803132645266632,2.3222061637453453,1.7249899860067097,1.951470746977421,2.5605772388401316,2.310844001532052,1.3362260301351672,2.89586900312525,4.129973743626782,2.667625198396396,2.1068041673678333,3.1170003220473577,7.63028342909667,1.341774107254955,3.0795478586581084,1.2475928932760758,3.192010651861834,4.332476802656734,3.7637242232615598,1.958541321094224,1.4955454222976545,0.9433244984610056,2.6638721602469095,1.0039505281345007,1.9243685845912164,,2.345194539080787,1.4388896171744325,
p04,StatsForecastAutoTheta-decomposition_type_additive,125.48156905174255,0.9573729861633119,0.5428856573714008,1.4799957060930093,0.9810220851610721,2.3222423945850204,1.7260589650732852,1.9561484270955833,2.5639355363885232,2.3108242196701165,1.3338293221224236,2.8949731681778688,4.131253898167013,2.6645052120855275,2.103821863956414,3.121381398901751,7.626020207285965,1.3396072985711456,3.084125045390008,1.2460328780652414,3.188372089495679,4.3333542282321496,3.7718679022258077,1.9598281199048835,1.495179498605341,0.9433152294714763,2.6605736762138146,1.003949018158445,1.924396002384866,,2.3452454298220404,1.4389985055992545,
p04,StatsForecastAutoTheta-decomposition_type_multiplicative,132.75699067115784,0.9573729861633119,0.5428856573714008,1.4799957060930093,0.9810220851610721,2.3222423945850204,1.7260589650732852,1.9561484270955833,2.5639355363885232,2.3108242196701165,1.3338293221224236,2.8949731681778688,4.131253898167013,2.6645052120855275,2.103821863956414,3.121381398901751,7.626020207285965,1.3396072985711456,3.084125045390008,1.2460328780652414,3.188372089495679,4.3333542282321496,3.7718679022258077,1.9598281199048835,1.495179498605341,0.9433152294714763,2.6605736762138146,1.003949018158445,1.924396002384866,,2.3452454298220404,1.4389985055992545,
p10,AutoETS-auto_True,1.8335521221160889,1.8593349382849373,1.0697111077519312,2.7186689346008133,1.015822660212738,1.5615828314796516,2.4923530569663606,2.7739493490325637,2.507347785810458,2.832184563893269,1.6547330225222816,1.8843173018705204,2.488544110860362,2.498976766909362,4.772049958273861,0.9840383488156716,3.3906578903828377,1.3332535114054886,1.0873129762484415,1.2662092926260202,2.313124640219574,1.9989157781934634,2.1325892771732886,3.0013863598657253,3.020707343682732,1.6446415292432077,1.8010999318463359,3.0023094885530583,1.033297519953582,4.134048643785979,2.216316169671191,0.9430739504850227,
p10,StatsForecastAutoCES-model_Z,1.0891039371490479,2.171053568020697,1.3479397994950688,3.0189445567718014,1.18728856388845,1.5148056711825961,2.500022830565341,2.3734528636997707,2.2484471607254193,2.588711023076884,1.279975517700595,2.0391501927716327,2.0874228160142754,2.5214130639073424,2.3077390069381045,0.7207981150055028,1.0591043094231045,1.0805065653194228,2.125481179091647,0.45044572569371694,1.162042929799796,1.1295621769300679,0.5577518073897663,3.0864790869883736,1.2448523328149117,0.8057595863139853,1.8705391737983161,2.352918147467672,1.4233046328563888,4.418822502744215,1.8163701691860294,0.884955249879972,
