validation_id,model_id,runtime_secs,MeanSquaredError_fold_0_test,MeanSquaredError_fold_1_test,MeanSquaredError_fold_2_test,MeanSquaredError_fold_3_test,MeanSquaredError_fold_4_test,MeanSquaredError_fold_5_test,MeanSquaredError_fold_6_test,MeanSquaredError_fold_7_test,MeanSquaredError_fold_8_test,MeanSquaredError_fold_9_test,MeanSquaredError_fold_10_test,MeanSquaredError_fold_11_test,MeanSquaredError_fold_12_test,MeanSquaredError_fold_13_test,MeanSquaredError_fold_14_test,MeanSquaredError_fold_15_test,MeanSquaredError_fold_16_test,MeanSquaredError_fold_17_test,MeanSquaredError_fold_18_test,MeanSquaredError_fold_19_test,MeanSquaredError_fold_20_test,MeanSquaredError_fold_21_test,MeanSquaredError_fold_22_test,MeanSquaredError_fold_23_test,MeanSquaredError_fold_24_test,MeanSquaredError_fold_25_test,MeanSquaredError_fold_26_test,MeanSquaredError_fold_27_test,MeanSquaredError_fold_28_test,MeanSquaredError_mean,MeanSquaredError_std
p05,VARReduce-regressor_Lasso()-lags_71,0.18054699897766113,2.6174292658672034,1.7239938311470968,2.5580608670987988,2.714549939992871,2.890720297641218,1.509652863880013,4.069133144348364,3.710177941837933,2.413936212046583,0.6743330271001331,0.9543811458912874,2.936502178844918,1.440913625437969,0.8927614683362557,3.995012893039253,2.5984260859324553,2.672242003227303,2.9662356518602797,3.1205963565742048,4.263285068084492,1.522396738712289,1.7617212398920075,3.211231599620996,2.146759077834632,0.9460612981014523,2.3400765364103044,4.503295533030107,3.800172291618719,,2.534073506550327,1.08148202359831
p05,VARReduce-regressor_Lasso()-lags_72,0.18810701370239258,2.6326502184206286,1.7310439955648023,2.5412161352368003,2.7113563581511877,2.8900099492149627,1.509422623076655,4.072310420965429,3.708308302274498,2.4164858412542056,0.6770758054733426,0.95641396720788,2.9390521203259627,1.4421948767313806,0.8925104714449187,3.9969998680496714,2.599102103032205,2.6718113340900485,2.9679944850546374,3.123376934142213,4.264402545504609,1.5222064098364982,1.7631489104407359,3.2101511247231596,2.144791170253453,0.9461468060094101,2.3408573149379808,4.501552505877428,3.7990282505337305,,2.5347007445653014,1.0811441784225537
p05,VARReduce-regressor_Lasso()-lags_8,0.13351225852966309,2.633407057494976,1.7152938662846053,2.5869311400054364,2.7231888038507126,2.8926417871727255,1.509912121133015,4.064789108905575,3.712285035450208,2.411535594350518,0.6711158055072637,0.9519445939157204,2.9357171780287104,1.4414590824503797,0.8922238401764058,3.995927694555065,2.601605981820649,2.673144718769478,2.9639866202329657,3.117240285937149,4.267487784699537,1.5226416110436527,1.7628101060919978,3.2109053455837984,2.1496727120718337,0.9462013104803398,2.341124558173376,4.503209629520918,3.7992519533092324,,2.5356305473934375,1.0821457137271395
p05,VARReduce-regressor_Lasso()-lags_9,0.1360015869140625,2.639623487684559,1.7164483991149593,2.5827441903282056,2.721142479822998,2.8934560334440995,1.5092322879719415,4.0699259137724555,3.7112697982377543,2.4135310872525313,0.6720944242800049,0.95294912891528,2.9381743072779485,1.4432641865842053,0.8917112975815252,3.998216305350657,2.6035177626037402,2.6731234386178557,2.9645041757370683,3.1179839414777697,4.269463389001403,1.522606601714076,1.7638721874925805,3.210271266619726,2.149417050546117,0.9462873118115476,2.3417786228875763,4.502402445724864,3.7984912001054307,,2.536339382927103,1.0823703687473392
p05,VARReduce-regressor_LinearRegression()-lags_10,0.13199949264526367,2.6426990202253853,1.507234038718374,1.6950633019276629,2.6425244819039326,2.8714338217165762,1.399210070793547,3.1541856746598014,3.783410769497182,2.235829978636874,1.0483977015384898,1.519228449767311,2.8891591587404806,1.276776646515909,0.9461809986135692,3.376946450982124,2.039547924682644,2.6924064378969756,2.5269393440211627,3.3765430688374414,3.552324452181562,1.5133308214585595,1.519492780299259,3.4044820291363043,1.9285378058317457,1.0968215767010105,2.1054951985326036,4.904038776814203,3.726332200326998,,2.406234749319917,1.0080353230617878
p05,VARReduce-regressor_LinearRegression()-lags_11,0.13550925254821777,2.6547289074850515,1.505368815549997,1.7837255116093902,2.6385363097851244,2.795115274734225,1.3806691096193333,3.3081961958705435,3.716132881374408,2.3188365042069785,1.1188423070554494,1.362698666270482,2.909751209891534,1.2307247306515279,1.0205747863335322,3.4666833730878026,2.075639515387005,2.6773663547671016,2.5579442407533075,3.412755255536798,3.5902749275298658,1.5038338825182846,1.506067642752131,3.3553629706552957,1.9864832476560172,1.0694926340704909,2.129568846533747,4.848151836657547,3.7248040444729598,,2.416011785100569,1.0067543133101662
p05,VARReduce-regressor_LinearRegression()-lags_12,0.13451147079467773,2.7417822421735862,1.5144199250540094,1.841177830750442,2.638037902558333,2.7432960094154573,1.4180003003628319,3.343578062722708,3.703291635178351,2.337591376919243,1.1372458805930332,1.3442876439104179,2.9109211833841715,1.2251770143989813,1.0274569714701016,3.4745799332910448,2.083139929920072,2.6747062585171406,2.5612954177855998,3.4037883203153663,3.586775091377237,1.5061598976925665,1.5093685221993076,3.387907946183332,1.9389644051674984,1.0878775502110904,2.1130297963784073,4.878322893544561,3.7243699286563263,,2.4234482096475434,1.0076957935927995
p05,VARReduce-regressor_LinearRegression()-lags_13,0.13302993774414062,2.683007878889665,1.4968512771107334,2.2093080538973884,2.636551192047832,2.6671722163453784,1.4835833115648676,3.444816699561964,3.6627699521820682,2.3768447373146273,1.1973038789516033,1.221479592954586,2.9087581006763243,1.1237482504269156,1.129603370689853,3.544202156181771,2.111096065850557,2.667054702196865,2.5350989897389873,3.4653317160663915,3.6369698651893976,1.5016386298922024,1.5020489011106528,3.348772752525618,1.986496566063375,1.0726802227777936,2.13528042234978,4.832079126399684,3.7236205584216,,2.4394346138349454,1.0038828891155473
p05,VARReduce-regressor_LinearRegression()-lags_14,0.134033203125,2.6852644099376564,1.4939039120237385,2.2197990655103457,2.6371618749778105,2.671404252900602,1.4690793801925677,3.409583873532616,3.6715460233604533,2.3755325184502927,1.1794589715544017,1.245394433697447,2.912899736249734,1.1481603886337464,1.0966181301446098,3.5338199794899614,2.1022208358676338,2.6705957133450418,2.5341689723559924,3.4788836217993766,3.6524508442488153,1.4998771799130497,1.4972982216589805,3.3316639907687464,2.006096445402275,1.068384463052354,2.1424800317502046,4.813675104507123,3.7256947742664916,,2.4383256124854307,1.002734612269905
p05,VARReduce-regressor_LinearRegression()-lags_15,0.14600014686584473,2.639191443498731,1.4892798569820265,2.249147154447866,2.6399081346337447,2.6602988979566025,1.4613208293823685,3.408539734123477,3.666578016093443,2.3876440276062363,1.160314588532248,1.3098087764606037,2.9183890312892813,1.1818959861425284,1.0301171399880427,3.514652765229244,2.0902418951368182,2.6819927832403314,2.5344138256552973,3.442619488895722,3.6493577319977293,1.501415577901685,1.4997462401151362,3.3603224568899033,1.969476318916383,1.0751847882754482,2.128859634852747,4.870257424927801,3.7217434889081584,,2.4372399299314145,1.006279794576923
p05,VARReduce-regressor_LinearRegression()-lags_16,0.1419985294342041,2.6385974623450474,1.4409201623253314,2.4244927771667486,2.6630181069881464,2.6504949503730684,1.4816741379977392,3.481057161321699,3.6376156307694085,2.394343156694954,1.184102529583323,1.2351670064859996,2.9159276433416563,1.1756287564375507,1.0577388661297966,3.5214642834866936,2.093119000915852,2.6867072776076677,2.537663142267623,3.409893396575786,3.6389846328945343,1.5021603498874467,1.5119329843145706,3.390923242547167,1.9472381750868333,1.079360348785623,2.1217981860565023,4.907527935644185,3.718502533488915,,2.444573351339995,1.0117252225319293
p05,VARReduce-regressor_LinearRegression()-lags_17,0.14600133895874023,2.695628351448456,1.4497973158329593,2.3873180839407646,2.6602314453827014,2.6490163993139846,1.4944411317963162,3.521104900627053,3.6187820597395586,2.393138857317801,1.2073762232195044,1.1899689338034594,2.9134447628271474,1.174517945079085,1.0810943857628421,3.5292942436607477,2.1154776766798764,2.664294010997224,2.529337572747131,3.4534690638217977,3.6466962005429284,1.5010537041367449,1.5097871816025143,3.364831614873014,1.9681121869284555,1.0749244120649104,2.128840378686714,4.867877781292561,3.727229408137762,,2.447038794009429,1.0095522700313742
p05,VARReduce-regressor_LinearRegression()-lags_18,0.14501571655273438,2.7381093757673183,1.4566751280116585,2.40359493794591,2.6882194206537626,2.657985655237749,1.4963968335461253,3.5037779499629607,3.610828142067994,2.392962434971558,1.2269338655858941,1.1461323040189784,2.9557151494496297,1.178643923262282,1.1331807568688086,3.524741843942357,2.1204743468205174,2.657987599267896,2.51808139094096,3.471161410655013,3.6384252056467394,1.5021510668685776,1.505425215882065,3.3542255588145786,1.9863356475579297,1.073490514953395,2.131356078492597,4.842500814165678,3.7361498126231174,,2.451845085142216,1.0057040012605911
p05,VARReduce-regressor_LinearRegression()-lags_19,0.13800048828125,2.8203283699016493,1.4941525612426414,2.4299045363611396,2.6992457907533973,2.6519832787747992,1.433462028596404,3.4980115116825385,3.626615324632335,2.38334585011909,1.2209747142978677,1.1577407279742058,2.9490517297678367,1.1647480808812327,1.0924500396411343,3.5208435070643596,2.1095568445816695,2.679839178106413,2.5446439195613375,3.3972770010077302,3.6449423324985597,1.5028862081853214,1.508011089574196,3.3897573885813994,1.9667144456502306,1.0780037937483902,2.1281181701574625,4.868305214383987,3.728843698960104,,2.4532056191674085,1.0113977039253528
p05,VARReduce-regressor_LinearRegression()-lags_20,0.13700151443481445,2.74749299717441,1.472111247963369,2.4221596963387113,2.6910126780129633,2.6420303365555444,1.4111777916007355,3.4830317676822453,3.6511875979071844,2.367463733111623,1.1999238066525715,1.197806086305951,2.9431254503720967,1.1720147425943104,1.0768562912172408,3.5151827451564768,2.1061840960284317,2.6812449963697116,2.5381642953408052,3.41541494558591,3.6303420388136933,1.5033838641671,1.5007781443817985,3.3614887668441544,1.9929162922080035,1.0702120408497742,2.1276658813525082,4.863992445137608,3.734933310137993,,2.4471177887808184,1.010887757014973
p05,VARReduce-regressor_LinearRegression()-lags_21,0.14451003074645996,2.6225967792487426,1.47004848765283,2.4118620852073898,2.6977237499292155,2.6572151427300144,1.4556897285311543,3.4588246483539478,3.615110895462217,2.423651118510638,1.245185979649436,1.0888879313568667,2.9788844791204023,1.1983363307023542,1.1087865804755668,3.5111139572764696,2.1049867829211086,2.6849365504749017,2.5498297985310963,3.4189207131084363,3.625930661443638,1.50380443598569,1.4974306297817022,3.3538401573078493,1.9908545710666046,1.072490706595618,2.1257965330763464,4.87042737600919,3.7314728838626112,,2.445522846227573,1.0069161465661225
p05,VARReduce-regressor_LinearRegression()-lags_22,0.1425175666809082,2.9159799489409703,1.4838611833567465,2.3943177671851648,2.6998892570670305,2.686720948845053,1.4694355248542936,3.4345827750353086,3.5831213134481876,2.443190421782481,1.2516285563980336,1.0622692184406946,2.988364113125696,1.2119707855351458,1.1235979554367388,3.505512299992547,2.1046688878897055,2.6832857477164804,2.547309937642176,3.4291732615218007,3.619574892240332,1.5045137706763572,1.5004294731099899,3.3625167748651728,2.003397671242275,1.0648932444933192,2.1261460804101042,4.854340662370068,3.742490298865122,,2.4570422418745355,1.0065701518365184
p05,VARReduce-regressor_LinearRegression()-lags_23,0.1375119686126709,2.9842469638008278,1.485202721726033,2.392073020317679,2.71005092602506,2.7277793337897087,1.4700149062897794,3.4394955351048706,3.5624327179832833,2.435110358796048,1.2480149315283708,1.089441269341343,2.9925980324726136,1.2200884442889186,1.1430023528517979,3.5063812213914063,2.1064587530228414,2.668619288137336,2.548092954671418,3.4360810077417967,3.6178812408973977,1.50446170920699,1.5001801703146946,3.3475334164275687,2.0122188878447775,1.0625115014328619,2.126701956315857,4.850716944322811,3.747373294669418,,2.4619558521683396,1.0045486574093374
p05,VARReduce-regressor_LinearRegression()-lags_24,0.14002442359924316,3.009549644768916,1.4815626716954642,2.407554515106713,2.6983879796143375,2.6531792641332475,1.4815766863891127,3.4083352613460702,3.594500723429744,2.4220069688371995,1.2480009212928216,1.1663115236352337,2.9534990766693165,1.2131650885434713,1.1220504263732944,3.5110999602611876,2.117887264718681,2.673855886115484,2.5466601610440884,3.4338141247148974,3.62512749344411,1.503675528599798,1.5039317916470596,3.3779511536933873,1.9729873602570929,1.0790623112518163,2.1243642840449835,4.877059884845515,3.7352848210570064,,2.462230099197502,1.0038749117478598
