model_class,model,cov_bucket,aleppo_2017__rmse,aleppo_2017__wql,aleppo_2017__sharpness_50,aleppo_2017__coverage_50,aleppo_2017__sharpness_80,aleppo_2017__coverage_80,aleppo_2017__brier_3_9,aleppo_2017__dilate_g001,aleppo_2017__shape_g001,aleppo_2017__temporal_g001,brown_2019__rmse,brown_2019__wql,brown_2019__sharpness_50,brown_2019__coverage_50,brown_2019__sharpness_80,brown_2019__coverage_80,brown_2019__brier_3_9,brown_2019__dilate_g001,brown_2019__shape_g001,brown_2019__temporal_g001,lynch_2022__rmse,lynch_2022__wql,lynch_2022__sharpness_50,lynch_2022__coverage_50,lynch_2022__sharpness_80,lynch_2022__coverage_80,lynch_2022__brier_3_9,lynch_2022__dilate_g001,lynch_2022__shape_g001,lynch_2022__temporal_g001,tamborlane_2008__rmse,tamborlane_2008__wql,tamborlane_2008__sharpness_50,tamborlane_2008__coverage_50,tamborlane_2008__sharpness_80,tamborlane_2008__coverage_80,tamborlane_2008__brier_3_9,tamborlane_2008__dilate_g001,tamborlane_2008__shape_g001,tamborlane_2008__temporal_g001
deep_learning,tide,bg_only,2.7360261671986024,0.7868957158582055,3.153100740049941,0.4821176054678294,6.187356777539524,0.7963459423363971,0.0417868924767054,228.98712343728323,439.0343120252328,18.93993484933365,2.5097548827478358,0.7124160400273709,3.1259977837399053,0.5349337096350748,6.151516200614509,0.8368228756454013,0.0199154108458332,196.8399309867778,376.77041611661446,16.909445856941232,2.514369080921496,0.7195863892340818,3.137187241553923,0.52178677140255,6.167106145723572,0.8288294057377049,0.0241276386626088,200.88658675892017,386.13309214619096,15.64008137164942,3.302286779445119,0.961841574620108,3.412816443461174,0.4341746274655289,6.680021141764147,0.7394722299511531,0.0445339422473343,390.8404682979381,765.900883371478,15.780053224398326
deep_learning,tide,iob,2.7114959880026115,0.7791780152093795,3.192858925443068,0.4898582960169691,6.212322413847312,0.7974457930709403,0.0416786325298609,227.5797212575053,436.7134010157909,18.44604149921975,2.514958089572522,0.7099841393621364,2.9865883188388205,0.5306893760392054,5.896737922485056,0.8175155333858406,0.0206562573785952,196.9246448806021,377.1908264800609,16.658463281143277,2.5065499313489115,0.7161615239416476,3.096501061738849,0.5179267702641166,6.111536218820797,0.8261861054189434,0.0241422451990863,188.0659291937341,361.1937658419985,14.938092545469695,,,,,,,,,,
deep_learning,tide,iob_cob,2.719570619104128,0.7808185456313173,3.2013396918959494,0.4935899324377405,6.273117829222776,0.8009613873831408,0.0418371514911309,223.09244145144635,428.031337306054,18.153545596838672,,,,,,,,,,,2.517368983711877,0.7181984578730055,3.1993281694861957,0.5284928563296905,6.2878295408315,0.8360086520947175,0.0242580082373897,190.4582516679247,366.028219472479,14.888283863370336,,,,,,,,,,
deep_learning,timegrad,bg_only,3.701647105818664,1.134572281315055,1.9686324572964111,0.2515761253829837,3.531283731918521,0.4300907376855998,0.0478928809612256,311.85858328196866,602.5145890876679,21.20257747626937,3.204350041383944,0.9381205518013483,2.0685000797009767,0.3368228756454013,3.722271881374549,0.5413767830576706,0.0218733580733232,227.28266686052007,437.7425960489696,16.822737672070712,3.001087106012895,0.8620793675247577,1.9484078241006229,0.3251152663934426,3.5109773095254906,0.5332849499089254,0.0256815440645987,187.22677754696247,360.21381608669884,14.239739007226095,3.883262220767137,1.2002870136983972,1.8646979811543969,0.2329383849625919,3.369421666561844,0.3997316128733074,0.050287702197272,429.0865601154189,842.8495867863724,15.323533444465609
foundation,chronos2,zero_shot,2.7648694756001126,0.7948016303189123,3.683051217503957,0.5252376463194282,7.016229497990354,0.8287964490533427,0.0420640882509726,260.75274799224763,501.70455620488167,19.80093977961361,2.649500020918904,0.7590502869938227,3.78063526424027,0.5537269187013214,7.160795741666044,0.8592396298241008,0.0205963453688267,253.1152385332596,487.16395024657226,19.06652681994692,2.672439911136349,0.7677072895026146,3.980853221554798,0.5737171277322405,7.555660500360791,0.8733777322404371,0.0252542655412998,258.3736283231651,499.1216358962921,17.62562075003814,3.353553374912766,0.9554019795945572,4.119656414653193,0.4969702590737648,7.730084960054931,0.791316932541891,0.0457806333272598,421.6157625502256,826.8075952684487,16.423929832002447
foundation,chronos2,bg_only,2.7514034782956016,0.7840795816705958,3.4963571660130484,0.5110647929923797,6.663818234106444,0.80271672951528,0.0410849387237299,233.27257890776133,448.2553979306143,18.28975988490833,2.5216759322653317,0.7156815786612276,3.4393475749641147,0.5385435809923864,6.567653927299058,0.8321874726524897,0.0194295078312698,209.5470374536632,402.66123804867016,16.432836858656316,2.4292375964234605,0.6968628897055413,3.6179843741517432,0.579861111111111,6.914224447641787,0.8566890084244081,0.0237727775395749,193.18367855721309,372.7810168864897,13.586340227936414,3.2697369002867704,0.93121390379931,4.073620325601301,0.498786557843319,7.628505618783143,0.7879471186545476,0.0440705045582204,395.3328640658488,774.4721374031625,16.193590728535185
foundation,chronos2,iob,2.61904238192117,0.7439007345368543,3.19628184594718,0.4893967515122948,6.143412263500142,0.7873752847827794,0.040693485753126,202.07122714531533,387.34042221956327,16.80203207106744,2.4321334886428674,0.6686911535586176,2.919534847094345,0.513930821737989,5.661059374074626,0.8089995186838191,0.0194742129969925,179.93334605923695,345.2640248524405,14.602667266033436,2.24831094065991,0.6136756792560158,2.540042319188305,0.4965384505919855,4.993589344062081,0.7925525102459017,0.0236519065838869,141.4603080119922,272.66274508373226,10.257870940252095,,,,,,,,,,
foundation,chronos2,iob_cob,2.6090161564291763,0.7377425591724988,3.2239761202734334,0.4989418846727945,6.125879490636691,0.7928082528085474,0.040879425143574,203.53774245055823,390.4487848453077,16.626700055808698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
foundation,moirai,zero_shot,3.143220098711898,0.9084467572130708,3.9267479258808726,0.5015147497839578,7.627526922149195,0.7941953413465316,0.0491710653277925,283.7120664309048,548.3350124510562,19.089120410753427,3.157739480140823,0.9045509706721911,3.9597885115097062,0.5074494618009976,7.6697217746069475,0.7975108296140719,0.0256231030025382,275.749745252804,532.70890345228,18.79058705332789,3.306902520498043,0.9572205307594382,4.186152799495577,0.5023266734972678,8.126737973735906,0.795352345173042,0.0314739765912852,299.611111908406,581.8650981588048,17.35712565800711,3.663968797227989,1.0614232024136356,4.168888760928096,0.4653028968033142,8.276198582677466,0.7611383555926544,0.0530430702714644,398.9796628856721,783.1700458509989,14.7892799203454
foundation,moirai,bg_only,2.779501869997526,0.8050661079530285,3.4714817148955737,0.4971300769895515,6.596319950418866,0.7816157985701939,0.0415757975450361,182.8388364593883,349.2201458609196,16.45752705785697,2.577319746869611,0.7320203583099558,3.061830836400576,0.4830554826288614,5.85803800246142,0.768910803360462,0.019952820264075,155.1366155427979,296.1938001672273,14.079430918368477,2.5189692570888167,0.7213295690784978,3.1860787722115864,0.5039845173041895,6.088703975331493,0.7847079918032787,0.0244527108873042,142.9264043982321,273.9674966454534,11.885312151010748,3.3411572975061774,0.9719504078055072,4.11517956216656,0.4823142737896494,7.723950040321606,0.7639352624744945,0.0443939081179468,283.9769849540818,555.6508002572514,12.303169650912231
