dataset,dataset_label,model,score,n,n_hypo,base_rate,operating_point,thr,tp,fp,fn,tn,sens,spec,ppv,npv,fp_per100,alarms_per100,ppv_lo,ppv_hi,fp_per100_lo,fp_per100_hi,spec_lo,spec_hi
brown_2019,DCLP3,moirai,point,3809,463,0.12155421370438435,sens80,-7.189451456069946,371,1982,92,1364,0.8012958963282938,0.40765092647937834,0.1576710582235444,0.9368131868131868,52.03465476503019,61.774744027303754,0.14078793647730048,0.17517769622636953,47.282751378314515,56.970333420845364,0.35248147200207736,0.45995688447654154
brown_2019,DCLP3,moirai,point,3809,463,0.12155421370438435,youden,-5.9125776290893555,214,559,249,2787,0.46220302375809935,0.832934847579199,0.276843467011643,0.9179841897233202,14.675767918088738,20.294040430559203,,,,,,
brown_2019,DCLP3,toto,point,3809,463,0.12155421370438435,sens90,-7.399097442626953,417,2361,46,985,0.9006479481641468,0.2943813508667065,0.15010799136069114,0.9553831231813773,61.984772906274614,72.93252822263061,0.13307624505742646,0.1630731754082055,59.463770018377524,67.60304541874508,0.23141018770204339,0.3225261460623302
brown_2019,DCLP3,toto,point,3809,463,0.12155421370438435,sens80,-6.9467737674713135,371,1904,92,1442,0.8012958963282938,0.4309623430962343,0.16307692307692306,0.940026075619296,49.98687319506432,59.72696245733788,0.14451871073600056,0.18260427874539933,44.99868731950643,55.81583092675242,0.3664675549239271,0.4871681219969116
brown_2019,DCLP3,toto,point,3809,463,0.12155421370438435,youden,-6.181679010391235,260,928,203,2418,0.5615550755939525,0.7226539151225344,0.21885521885521886,0.9225486455551316,24.363349960619587,31.189288527172486,,,,,,
brown_2019,DCLP3,patchtst,point,3809,463,0.12155421370438435,sens90,-8.495882987976074,417,2463,46,883,0.9006479481641468,0.2638971906754334,0.14479166666666668,0.9504843918191603,64.66264111315306,75.61039642950905,0.13068469566029844,0.16102828321248436,59.85823050669467,69.67839327907586,0.20647037886079928,0.3189795934690874
brown_2019,DCLP3,patchtst,point,3809,463,0.12155421370438435,sens80,-7.964097023010254,371,1940,92,1406,0.8012958963282938,0.4202032277346085,0.160536564257897,0.9385847797062751,50.93200315043318,60.672092412706746,0.14350045653003968,0.1770908456702216,47.57154108689945,55.868338146495134,0.3641151921005876,0.4571528850310185
brown_2019,DCLP3,patchtst,point,3809,463,0.12155421370438435,youden,-6.223488807678223,202,505,261,2841,0.43628509719222464,0.8490735206216378,0.2857142857142857,0.9158607350096711,13.258072985035442,18.56130217904962,,,,,,
brown_2019,DCLP3,tft,point,3809,463,0.12155421370438435,sens90,-8.065290451049805,417,2619,46,727,0.9006479481641468,0.21727435744172147,0.1373517786561265,0.9404915912031048,68.7582042530848,79.7059595694408,0.1256394199077126,0.15488987078404776,61.826594906799684,71.96180099763717,0.18110522017569267,0.2943305553451019
brown_2019,DCLP3,tft,point,3809,463,0.12155421370438435,sens80,-7.255925178527832,371,1966,92,1380,0.8012958963282938,0.41243275552898984,0.15875053487376978,0.9375,51.61459700708848,61.354686269362034,0.13938342798782544,0.1775672277846131,47.07140981885009,57.75794171698609,0.3420970878977656,0.46370487983489783
brown_2019,DCLP3,tft,point,3809,463,0.12155421370438435,youden,-6.076752185821533,227,665,236,2681,0.490280777537797,0.801255230125523,0.25448430493273544,0.9190949605759342,17.45865056445261,23.41822000525072,,,,,,
brown_2019,DCLP3,ttm,point,3809,463,0.12155421370438435,sens90,-8.79462797413856,417,2503,46,843,0.9006479481641468,0.25194261805140467,0.1428082191780822,0.9482564679415073,65.71278550800736,76.66054082436335,0.12891076119124076,0.15700185566959768,62.16854817537411,69.62522971908636,0.20917394403169584,0.29120098597202326
brown_2019,DCLP3,ttm,point,3809,463,0.12155421370438435,sens80,-8.171475504910092,371,2069,92,1277,0.8012958963282938,0.38164973102211597,0.15204918032786885,0.9327976625273923,54.318718823838275,64.05880808611184,0.13671680402348516,0.1687000773917012,49.74993436597532,59.018114990811235,0.32789746695455263,0.4339347993283014
brown_2019,DCLP3,ttm,point,3809,463,0.12155421370438435,youden,-6.652717768382409,226,700,237,2646,0.48812095032397407,0.7907949790794979,0.24406047516198703,0.9177939646201873,18.377526909950117,24.310842740876872,,,,,,
brown_2019,DCLP3,deepar,point,3809,463,0.12155421370438435,sens90,-7.657867908477783,417,2675,46,671,0.9006479481641468,0.20053795576808128,0.13486416558861578,0.9358437935843794,70.2284064058808,81.17616172223681,0.122616163421618,0.15072506261529464,63.979390916250985,74.48214754528748,0.1524735215751583,0.27075984748936316
brown_2019,DCLP3,deepar,point,3809,463,0.12155421370438435,sens80,-7.0676305294036865,371,2085,92,1261,0.8012958963282938,0.37686790197250447,0.15105863192182412,0.9320029563932003,54.738776581779995,64.47886584405356,0.13446531551744195,0.16901423989657272,49.750590706222106,59.64885796797059,0.3223026808719773,0.43333383594692404
brown_2019,DCLP3,deepar,point,3809,463,0.12155421370438435,youden,-6.0541651248931885,256,916,207,2430,0.5529157667386609,0.726240286909743,0.21843003412969283,0.9215017064846417,24.048306642163297,30.76923076923077,,,,,,
lynch_2022,IOBP2,chronos2,point,2928,597,0.2038934426229508,sens90,-7.52104377746582,538,1913,59,418,0.9011725293132329,0.1793221793221793,0.21950224398204815,0.8763102725366876,65.3346994535519,83.70901639344262,0.20324792885696077,0.24010183644791883,60.86065573770492,68.51178278688523,0.1413257500427803,0.23421647461002568
lynch_2022,IOBP2,chronos2,point,2928,597,0.2038934426229508,sens80,-6.986886024475098,478,1461,119,870,0.8006700167504187,0.3732303732303732,0.24651882413615264,0.8796764408493428,49.89754098360656,66.22267759562841,0.22243176445304105,0.271554739603637,44.84289617486339,54.40573770491803,0.31897557220718387,0.43571670822870084
lynch_2022,IOBP2,chronos2,point,2928,597,0.2038934426229508,youden,-5.921651840209961,283,498,314,1833,0.474036850921273,0.7863577863577863,0.36235595390524966,0.8537494177922683,17.008196721311474,26.67349726775956,,,,,,
lynch_2022,IOBP2,moirai,point,2928,597,0.2038934426229508,sens90,-6.870799541473389,538,1924,59,407,0.9011725293132329,0.1746031746031746,0.21852152721364745,0.8733905579399142,65.7103825136612,84.0846994535519,0.20234067477455236,0.23688716027190906,62.22677595628415,68.64839480874316,0.1394261953433146,0.21519633790536358
lynch_2022,IOBP2,moirai,point,2928,597,0.2038934426229508,sens80,-6.543107032775879,478,1616,119,715,0.8006700167504187,0.30673530673530675,0.2282712511938873,0.8573141486810552,55.19125683060109,71.51639344262296,0.20918072363080292,0.25284959066712914,49.931693989071036,59.08469945355191,0.2598786247387024,0.37191605567993263
lynch_2022,IOBP2,moirai,point,2928,597,0.2038934426229508,youden,-5.668631315231323,294,553,303,1778,0.49246231155778897,0.7627627627627628,0.34710743801652894,0.8543969245555022,18.886612021857925,28.9275956284153,,,,,,
lynch_2022,IOBP2,toto,point,2928,597,0.2038934426229508,sens90,-7.486645698547363,538,1961,59,370,0.9011725293132329,0.15873015873015872,0.2152861144457783,0.8624708624708625,66.97404371584699,85.34836065573771,0.1982227996501614,0.231980531257246,64.07103825136612,70.42435109289616,0.11827334103799968,0.19350738502218412
lynch_2022,IOBP2,toto,point,2928,597,0.2038934426229508,sens80,-7.063957452774048,478,1606,119,725,0.8006700167504187,0.311025311025311,0.22936660268714013,0.8590047393364929,54.849726775956285,71.17486338797814,0.21059674426294167,0.2538165620584756,49.76007513661202,58.60655737704918,0.2631774758883579,0.37721658217329407
lynch_2022,IOBP2,toto,point,2928,597,0.2038934426229508,youden,-6.0578179359436035,262,534,335,1797,0.4388609715242881,0.7709137709137709,0.32914572864321606,0.8428705440900562,18.237704918032787,27.185792349726775,,,,,,
lynch_2022,IOBP2,patchtst,point,2928,597,0.2038934426229508,sens90,-8.666068077087402,538,2084,59,247,0.9011725293132329,0.10596310596310596,0.2051868802440885,0.8071895424836601,71.17486338797814,89.54918032786885,0.18971058895192455,0.22087855819023633,68.64754098360656,73.90710382513662,0.07685769352343708,0.13365934519863693
lynch_2022,IOBP2,patchtst,point,2928,597,0.2038934426229508,sens80,-8.251800537109375,478,1752,119,579,0.8006700167504187,0.2483912483912484,0.21434977578475337,0.829512893982808,59.83606557377049,76.16120218579235,0.1954307427504522,0.23349442338211954,56.181693989071036,64.44672131147541,0.1923816704025475,0.2936350521717716
lynch_2022,IOBP2,patchtst,point,2928,597,0.2038934426229508,youden,-4.806092262268066,110,76,487,2255,0.18425460636515914,0.9673959673959674,0.5913978494623656,0.8223924142961342,2.5956284153005464,6.352459016393443,,,,,,
lynch_2022,IOBP2,tft,point,2928,597,0.2038934426229508,sens90,-7.634076118469238,538,1983,59,348,0.9011725293132329,0.1492921492921493,0.21340737802459342,0.855036855036855,67.72540983606558,86.09972677595628,0.1973631832957642,0.23274361978396402,62.49914617486339,70.69842896174863,0.11564476929125415,0.21089907751985326
