dataset,dataset_label,hour,window_label,n,mean_bg,std_bg,cv,hypo_count
brown_2019,DCLP3,8,08:00-09:00,372856,8.386831296800908,2.899473362420153,0.3457173823832768,4826
brown_2019,DCLP3,9,09:00-10:00,372586,8.658312738535532,2.9897734369778353,0.3453067043502896,5676
brown_2019,DCLP3,10,10:00-11:00,372174,8.758387394068366,3.0788632324202876,0.3515331183575476,6094
brown_2019,DCLP3,11,11:00-12:00,372617,8.762939747783918,3.216867386471882,0.3670991104652299,7475
brown_2019,DCLP3,12,12:00-13:00,373027,8.83414559803982,3.36173008264237,0.38053822470260096,8031
brown_2019,DCLP3,13,13:00-14:00,372980,9.12777164995442,3.4792054599481093,0.38116701352465177,7677
brown_2019,DCLP3,14,14:00-15:00,373163,9.310685544922727,3.5794655718909345,0.3844470479236491,7972
brown_2019,DCLP3,15,15:00-16:00,373162,9.227844796629881,3.5991232365167223,0.39002858368740284,9012
brown_2019,DCLP3,16,16:00-17:00,372860,9.099974065332832,3.5934061737526632,0.3948809247096722,9803
brown_2019,DCLP3,17,17:00-18:00,372414,8.971839538792848,3.569992937710463,0.3979109214196671,10060
brown_2019,DCLP3,18,18:00-19:00,372452,8.956734934971486,3.5787786237128514,0.39956285964649285,10106
brown_2019,DCLP3,19,19:00-20:00,372312,9.189319012011431,3.6415277940236126,0.39627830846483214,9213
brown_2019,DCLP3,20,20:00-21:00,372854,9.47158150375214,3.7359547872104084,0.3944383296211325,9223
brown_2019,DCLP3,21,21:00-22:00,373486,9.596022715710896,3.7601635478657673,0.39184604489415337,8409
brown_2019,DCLP3,22,22:00-23:00,373200,9.602190219721328,3.691370351211782,0.3844300380167757,7629
brown_2019,DCLP3,23,23:00-00:00,373586,9.508436825791117,3.5788482818909246,0.37638660775275845,7582
lynch_2022,IOBP2,0,00:00-01:00,313592,9.402369990305877,3.3640445377518753,0.3577868708868408,7069
lynch_2022,IOBP2,1,01:00-02:00,315146,9.013653417780965,3.2103703154612524,0.3561674902130418,7345
lynch_2022,IOBP2,2,02:00-03:00,316097,8.600352075470505,3.021406850397833,0.3513119955885688,7891
lynch_2022,IOBP2,3,03:00-04:00,317350,8.229985473452023,2.8033200061134433,0.3406227161829492,7386
lynch_2022,IOBP2,4,04:00-05:00,317615,7.963093619633834,2.6161601109147763,0.32853564655630346,6819
lynch_2022,IOBP2,5,05:00-06:00,317141,7.7694371273345295,2.4783380064482157,0.31898552827319965,6078
lynch_2022,IOBP2,6,06:00-07:00,314943,7.681820805669597,2.4263671363366983,0.315858335896863,5474
lynch_2022,IOBP2,7,07:00-08:00,312292,7.8401759891383715,2.4944356038541966,0.3181606646725711,4781
lynch_2022,IOBP2,8,08:00-09:00,309359,8.338605083414416,2.7793764627203847,0.33331431755277596,4125
lynch_2022,IOBP2,9,09:00-10:00,307251,8.923450013181403,3.1302523305288363,0.3507894733432628,3842
lynch_2022,IOBP2,10,10:00-11:00,306186,9.119123212687713,3.208924763191765,0.35188961573927313,4801
lynch_2022,IOBP2,11,11:00-12:00,304684,9.048953702852792,3.211448787912613,0.3548972503749428,5334
lynch_2022,IOBP2,12,12:00-13:00,303890,8.981289282306097,3.2751721603034967,0.3646661472931135,6080
lynch_2022,IOBP2,13,13:00-14:00,305625,9.1428163599182,3.3761261800755014,0.36926544810375117,6680
lynch_2022,IOBP2,14,14:00-15:00,306436,9.385087163388114,3.4942113055187263,0.37231527472114384,6868
lynch_2022,IOBP2,15,15:00-16:00,306038,9.40801031244486,3.526133549803128,0.3748011994777237,7124
lynch_2022,IOBP2,16,16:00-17:00,304689,9.258012826193266,3.496157243975608,0.37763581770853594,7713
lynch_2022,IOBP2,17,17:00-18:00,302543,9.039743110896634,3.486101961944769,0.385641706758522,8814
lynch_2022,IOBP2,18,18:00-19:00,299630,8.953931649033809,3.518691297188598,0.39297723448316574,9784
lynch_2022,IOBP2,19,19:00-20:00,299351,9.083659349726574,3.5649041272158053,0.392452423628492,9827
lynch_2022,IOBP2,20,20:00-21:00,300184,9.346417963648962,3.6577164364577106,0.3913495470332776,9003
lynch_2022,IOBP2,21,21:00-22:00,302104,9.637030890024628,3.692752791447431,0.3831836624358889,7692
lynch_2022,IOBP2,22,22:00-23:00,305808,9.800206240516925,3.6400259891014803,0.3714234067904149,6670
lynch_2022,IOBP2,23,23:00-00:00,310703,9.701219943161153,3.5055793803339,0.3613544895253249,6312
tamborlane_2008,Tamborlane,0,00:00-01:00,695891,8.969208941375916,3.7723624346406472,0.4205903173063945,33382
tamborlane_2008,Tamborlane,1,01:00-02:00,693764,8.911946462838918,3.747193659654079,0.42046860080220944,36519
tamborlane_2008,Tamborlane,2,02:00-03:00,690277,8.843256065474732,3.71341348304201,0.41991472999856677,37451
tamborlane_2008,Tamborlane,3,03:00-04:00,686938,8.761761701566511,3.657985524597493,0.4174942950050198,36973
tamborlane_2008,Tamborlane,4,04:00-05:00,681824,8.628202434284338,3.5828815896959725,0.415252379274195,36083
tamborlane_2008,Tamborlane,5,05:00-06:00,675183,8.456402102613213,3.4928261280047646,0.41303926724645756,36583
tamborlane_2008,Tamborlane,6,06:00-07:00,673482,8.341944606818993,3.3876626343366003,0.4060998716734954,34871
tamborlane_2008,Tamborlane,7,07:00-08:00,682690,8.512172079032881,3.3984384485030286,0.3992445661283137,29124
tamborlane_2008,Tamborlane,8,08:00-09:00,691870,8.83791244549773,3.5779439368610633,0.4048403917696383,25109
tamborlane_2008,Tamborlane,9,09:00-10:00,695027,8.900759803848368,3.6502468014283838,0.41010507887766484,25235
tamborlane_2008,Tamborlane,10,10:00-11:00,700340,8.789156042043608,3.644578096141667,0.4146675834070468,28307
tamborlane_2008,Tamborlane,11,11:00-12:00,705380,8.626473363418315,3.6555114564747524,0.42375502739931076,32640
tamborlane_2008,Tamborlane,12,12:00-13:00,710875,8.559486939018385,3.6615280225350495,0.42777424028115396,34260
tamborlane_2008,Tamborlane,13,13:00-14:00,711854,8.717792671621703,3.704707140916625,0.42495930798816156,30776
tamborlane_2008,Tamborlane,14,14:00-15:00,710191,8.777765902704376,3.7508251991663615,0.42730977799382364,31598
tamborlane_2008,Tamborlane,15,15:00-16:00,705043,8.731240475985455,3.760370686915165,0.43068000443439275,32213
tamborlane_2008,Tamborlane,16,16:00-17:00,700559,8.73276639802963,3.758731404064079,0.4304170331307797,32407
tamborlane_2008,Tamborlane,17,17:00-18:00,698236,8.765625038243318,3.7792160046569996,0.43114050488912725,31552
tamborlane_2008,Tamborlane,18,18:00-19:00,691953,8.80722404806464,3.816653116683675,0.43335483415144554,31068
tamborlane_2008,Tamborlane,19,19:00-20:00,688352,8.882581631399932,3.8547318629565113,0.4339652617804301,29850
tamborlane_2008,Tamborlane,20,20:00-21:00,688546,8.898002243848754,3.891753447012698,0.4373738441910477,30589
tamborlane_2008,Tamborlane,21,21:00-22:00,689539,8.912091406186713,3.891266025094018,0.4366277058595615,30748
tamborlane_2008,Tamborlane,22,22:00-23:00,693772,8.952573674703032,3.833787809843196,0.42823303657094647,29760
tamborlane_2008,Tamborlane,23,23:00-00:00,695722,8.990545668821484,3.7960496474669094,0.4222268355336112,30514
