dataset,dataset_label,model,metric,point,lo,hi,higher_is_better
aleppo_2017,Replace-BG,patchtst,dilate_shape,430.4449255795452,389.9987894785453,478.25975957693595,False
aleppo_2017,Replace-BG,tft,dilate_shape,415.00025432824674,377.5062508550727,461.6958452310017,False
aleppo_2017,Replace-BG,tide,dilate_shape,439.0343120252328,396.6199886201042,491.32336340394437,False
aleppo_2017,Replace-BG,deepar,dilate_shape,407.9903393439091,368.68392440090577,457.65695963852437,False
aleppo_2017,Replace-BG,chronos2,auroc,0.712414515278769,0.6862629462792842,0.7359251522851245,True
aleppo_2017,Replace-BG,moirai,auroc,0.7270978348054458,0.7029052700974449,0.7503038446117084,True
aleppo_2017,Replace-BG,toto,auroc,0.7271991433895999,0.6992553200993362,0.7533303325981976,True
aleppo_2017,Replace-BG,timesfm,auroc,0.700298576420143,0.6789672470608454,0.7189636941126204,True
aleppo_2017,Replace-BG,patchtst,auroc,0.7374000810468674,0.7112221204488806,0.7598541765526914,True
aleppo_2017,Replace-BG,tft,auroc,0.7057529528912094,0.6793071458030694,0.7300480200243649,True
aleppo_2017,Replace-BG,tide,auroc,0.7016236568394352,0.6734725020735906,0.7269244371284688,True
aleppo_2017,Replace-BG,deepar,auroc,0.7193492223445497,0.6964492246619349,0.7415008474481198,True
aleppo_2017,Replace-BG,chronos2,auprc,0.5361110040423949,0.4779130456591323,0.5858390737368047,True
aleppo_2017,Replace-BG,moirai,auprc,0.5542247573425504,0.4947856148245739,0.6017430181538111,True
aleppo_2017,Replace-BG,toto,auprc,0.5607326768276292,0.507932990858216,0.6083137455948235,True
aleppo_2017,Replace-BG,timesfm,auprc,0.5270115047135013,0.4725638537470372,0.5733429376044832,True
aleppo_2017,Replace-BG,patchtst,auprc,0.5707610462742646,0.5129382301033739,0.6199261852895602,True
aleppo_2017,Replace-BG,tft,auprc,0.5335956262951849,0.4754258868087718,0.5839581537884136,True
aleppo_2017,Replace-BG,tide,auprc,0.5208636326914907,0.4585964463953679,0.5768286859693104,True
aleppo_2017,Replace-BG,deepar,auprc,0.5472926231043682,0.49224612158577885,0.591946040574692,True
brown_2019,DCLP3,chronos2,rmse,2.4321334886428674,2.2624021915379213,2.6079613725253066,False
brown_2019,DCLP3,moirai,rmse,2.520496479025085,2.353348172429462,2.6971904122870733,False
brown_2019,DCLP3,toto,rmse,2.6797831701154142,2.5117404463950748,2.8433980593897017,False
brown_2019,DCLP3,timesfm,rmse,2.488437184996495,2.326055908884586,2.6546768539331986,False
brown_2019,DCLP3,patchtst,rmse,2.4769043427044197,2.315044024231214,2.642689966838382,False
brown_2019,DCLP3,tft,rmse,2.48997087742784,2.2972691031963404,2.684651701886816,False
brown_2019,DCLP3,tide,rmse,2.509754882747835,2.344161767921813,2.678044690976966,False
brown_2019,DCLP3,deepar,rmse,2.732753686412925,2.5285671629778643,2.9424622875843545,False
brown_2019,DCLP3,chronos2,wql,0.6686911535586176,0.6215866643481167,0.7193739004088477,False
brown_2019,DCLP3,moirai,wql,0.7132536822472002,0.6637904534262095,0.7654800866664141,False
brown_2019,DCLP3,toto,wql,0.781310182739559,0.7338305488860286,0.8279340158363334,False
brown_2019,DCLP3,timesfm,wql,0.7095170282088589,0.6652999845794908,0.7558019876784093,False
brown_2019,DCLP3,patchtst,wql,0.7093885463921249,0.6662962730114047,0.754541373306439,False
brown_2019,DCLP3,tft,wql,0.6813321134910315,0.6275002677616983,0.7385638563003618,False
brown_2019,DCLP3,tide,wql,0.7124160400273709,0.6635165285809251,0.7630105615780134,False
brown_2019,DCLP3,deepar,wql,0.8153202609313027,0.7653784821076425,0.8686261868662473,False
brown_2019,DCLP3,chronos2,dilate_shape,345.2640248524405,286.13952056593007,410.7283132854084,False
brown_2019,DCLP3,moirai,dilate_shape,286.39432923635525,239.0040685450734,338.514945524733,False
brown_2019,DCLP3,toto,dilate_shape,298.7587150914612,255.76115680097462,344.371193356389,False
brown_2019,DCLP3,timesfm,dilate_shape,385.09771907503824,328.73683767907204,445.89312939244525,False
brown_2019,DCLP3,patchtst,dilate_shape,377.67243818258714,323.6732631380819,437.86923469519166,False
brown_2019,DCLP3,tft,dilate_shape,368.1531275502976,301.0300545301391,445.7988077134384,False
brown_2019,DCLP3,tide,dilate_shape,376.77041611661446,318.06120259696723,438.3375610317291,False
brown_2019,DCLP3,deepar,dilate_shape,362.8148986925226,297.9756860249545,435.39232027082227,False
brown_2019,DCLP3,chronos2,auroc,0.6515571282689496,0.6221680849823373,0.6825976538696348,True
brown_2019,DCLP3,moirai,auroc,0.7197027106928875,0.6823111182182402,0.7551807985492103,True
brown_2019,DCLP3,toto,auroc,0.7097185124173927,0.6730174648632866,0.7447400710458856,True
brown_2019,DCLP3,timesfm,auroc,0.6537753728058001,0.6199724083508699,0.6893586712149478,True
brown_2019,DCLP3,patchtst,auroc,0.7059801264912555,0.6738547315037201,0.736722512453844,True
brown_2019,DCLP3,tft,auroc,0.6454129814265188,0.6127485098075189,0.6820192413301334,True
brown_2019,DCLP3,tide,auroc,0.663501372968465,0.6288821214899566,0.6998738217218374,True
brown_2019,DCLP3,deepar,auroc,0.6822633388372563,0.6521208788951366,0.7125261396129555,True
