dataset,dataset_label,model,n,n_hypo,aggregation,auroc,auprc
lynch_2022,IOBP2,deepar,2928,597,noisy_or,0.599963208003409,0.33148056989018604
tamborlane_2008,Tamborlane,chronos2,10782,4152,max_point,0.6797354198089494,0.6103448576116877
tamborlane_2008,Tamborlane,chronos2,10782,4152,mean_point,0.6517287276552832,0.5393084934293513
tamborlane_2008,Tamborlane,chronos2,10782,4152,max,0.6506500528920625,0.5689359425430904
tamborlane_2008,Tamborlane,chronos2,10782,4152,mean,0.6478985031836954,0.5510388375193245
tamborlane_2008,Tamborlane,chronos2,10782,4152,noisy_or,0.6482599020043767,0.55515567578916
tamborlane_2008,Tamborlane,moirai,10782,4152,max_point,0.6753886077181726,0.5979191790376249
tamborlane_2008,Tamborlane,moirai,10782,4152,mean_point,0.6438394188266681,0.5265521408341918
tamborlane_2008,Tamborlane,moirai,10782,4152,max,0.6851750378526985,0.6035480377274476
tamborlane_2008,Tamborlane,moirai,10782,4152,mean,0.6840856284710417,0.5902301662637821
tamborlane_2008,Tamborlane,moirai,10782,4152,noisy_or,0.6843540847493584,0.5935686517557566
tamborlane_2008,Tamborlane,toto,10782,4152,max_point,0.6882603415606646,0.6130789572155273
tamborlane_2008,Tamborlane,toto,10782,4152,mean_point,0.6491871114830993,0.5297144902791526
tamborlane_2008,Tamborlane,toto,10782,4152,max,0.677665999703572,0.6017189758977255
tamborlane_2008,Tamborlane,toto,10782,4152,mean,0.6795994298119425,0.5932492665756318
tamborlane_2008,Tamborlane,toto,10782,4152,noisy_or,0.6798273270327844,0.5960177328399687
tamborlane_2008,Tamborlane,patchtst,10782,4152,max_point,0.6584628208034362,0.5871557692928074
tamborlane_2008,Tamborlane,patchtst,10782,4152,mean_point,0.6428869984335812,0.5187399528348595
tamborlane_2008,Tamborlane,patchtst,10782,4152,max,0.6848349992879915,0.6071546684836899
tamborlane_2008,Tamborlane,patchtst,10782,4152,mean,0.6847551889438152,0.6008089930926441
tamborlane_2008,Tamborlane,patchtst,10782,4152,noisy_or,0.6850466765185399,0.6049644923164149
tamborlane_2008,Tamborlane,tft,10782,4152,max_point,0.6487185481128868,0.5784374946008326
tamborlane_2008,Tamborlane,tft,10782,4152,mean_point,0.6384093729384447,0.5170872825929338
tamborlane_2008,Tamborlane,tft,10782,4152,max,0.629955034481556,0.5493114086444013
tamborlane_2008,Tamborlane,tft,10782,4152,mean,0.6273865908450234,0.5260972847060036
tamborlane_2008,Tamborlane,tft,10782,4152,noisy_or,0.6277466274044818,0.5300907929362186
tamborlane_2008,Tamborlane,timesfm,10782,4152,max_point,0.6716826033066258,0.5976072134759931
tamborlane_2008,Tamborlane,timesfm,10782,4152,mean_point,0.6541140107295327,0.5423023777300924
tamborlane_2008,Tamborlane,timesfm,10782,4152,max,0.6171922997003753,0.5353188726031048
tamborlane_2008,Tamborlane,timesfm,10782,4152,mean,0.6146599650679897,0.5196251656856712
tamborlane_2008,Tamborlane,timesfm,10782,4152,noisy_or,0.614921664530641,0.5230156610412594
tamborlane_2008,Tamborlane,ttm,10782,4152,max_point,0.6539835424313493,0.578326106834249
tamborlane_2008,Tamborlane,ttm,10782,4152,mean_point,0.6341330351615968,0.5109366997495731
tamborlane_2008,Tamborlane,deepar,10782,4152,max_point,0.6550875189263492,0.5816706485402677
tamborlane_2008,Tamborlane,deepar,10782,4152,mean_point,0.5881607511835325,0.474817637585808
tamborlane_2008,Tamborlane,deepar,10782,4152,max,0.6530230756153061,0.5829986680011959
tamborlane_2008,Tamborlane,deepar,10782,4152,mean,0.6405532996509705,0.5385401082954974
tamborlane_2008,Tamborlane,deepar,10782,4152,noisy_or,0.6428505624867407,0.5491822415806873
