dataset,dataset_label,model,rmse,rmse_lo,rmse_hi,wql,auroc,auprc,n,source
brown_2019,DCLP3,toto,2.6797831701154142,2.625866137299009,2.7337601038122803,0.781310182739559,0.7039145415886155,0.37930753275703666,3809,rerun/survivor
brown_2019,DCLP3,timesfm,2.488437184996495,2.4327558871224357,2.5457461218725883,0.7095170282088589,0.7012060433850289,0.3728451515090496,3809,rerun/survivor
brown_2019,DCLP3,patchtst,2.4769043427044197,2.421382524519983,2.5331062503012105,0.7093885463921249,0.6937008697403431,0.3622151266878155,3809,rerun/survivor
brown_2019,DCLP3,tft,2.5069007136359147,2.4432308812679766,2.57075028783485,0.6942634751855812,0.7053423771525653,0.37611007109999933,3809,rerun/survivor
brown_2019,DCLP3,ttm,2.566162729992745,2.513852075974257,2.619507347889258,,0.6885381984743074,0.354596089950935,3809,rerun/survivor
brown_2019,DCLP3,moment,3.0213336897896643,2.9657951137661924,3.078828132795714,,0.6011913906421258,0.2131261395198472,3809,rerun/survivor
brown_2019,DCLP3,tide,2.509754882747835,2.452669055118717,2.568913949711457,0.7124160400273709,0.6782244748573133,0.3433472533791734,3809,rerun/survivor
brown_2019,DCLP3,deepar,2.732753686412925,2.665234895913346,2.8011744071162035,0.8153202609313027,0.6851416023000289,0.3653644550790011,3809,rerun/survivor
lynch_2022,IOBP2,chronos2,2.4292375964234605,2.358979912356651,2.5019125281055303,0.6968628897055413,0.5993789913387902,0.388838322881652,2928,rerun/survivor
lynch_2022,IOBP2,moirai,2.53524835770338,2.4716333356865143,2.59899273797537,0.7413098215292226,0.6066022950445061,0.3767876672689653,2928,rerun/survivor
lynch_2022,IOBP2,toto,2.5706321735284234,2.5040612210276647,2.6382846671049744,0.7582782246376453,0.634863866019645,0.39897561558112593,2928,rerun/survivor
lynch_2022,IOBP2,timesfm,2.423418042103183,2.3427826480896785,2.5049683189913434,0.6806695016646158,0.6190842673254735,0.3993592619118836,2928,rerun/survivor
lynch_2022,IOBP2,patchtst,2.451244781091121,2.384592671899433,2.519353215630394,0.7049868951207703,0.5797455747204491,0.3674607798540437,2928,rerun/survivor
lynch_2022,IOBP2,tft,2.4353060246441274,2.3603781018484438,2.5137586129816603,0.6796536394025418,0.6145298205599713,0.39086468414482667,2928,rerun/survivor
lynch_2022,IOBP2,ttm,2.5195334632001485,2.4566926803570435,2.582821254992192,,0.5802198465515048,0.3657702453218625,2928,rerun/survivor
lynch_2022,IOBP2,moment,2.919593432497105,2.8494797386173434,2.99066711167689,,0.5246301577959869,0.21801602740615458,2928,rerun/survivor
lynch_2022,IOBP2,tide,2.5143690809214956,2.447557703859037,2.582320766114799,0.7195863892340818,0.5512518979855663,0.34133678901620257,2928,rerun/survivor
lynch_2022,IOBP2,deepar,2.629881776926638,2.560401453928881,2.699933368087748,0.7800569172056889,0.5940355287088956,0.37274662918491014,2928,rerun/survivor
tamborlane_2008,Tamborlane,chronos2,3.2697369002867704,3.2341167262177897,3.3048497731922413,0.93121390379931,0.6797354198089494,0.6103448576116877,10782,rerun/survivor
tamborlane_2008,Tamborlane,moirai,3.3417852662528666,3.308023643220083,3.375778673663399,0.972039668728225,0.6753886077181726,0.5979191790376249,10782,rerun/survivor
tamborlane_2008,Tamborlane,toto,3.3397985154988477,3.305232401435571,3.3743866551753365,0.9682322854245121,0.6882603415606646,0.6130789572155273,10782,rerun/survivor
tamborlane_2008,Tamborlane,timesfm,3.261152576051211,3.2260055807271866,3.295400879464316,0.9379954401390572,0.6716826033066258,0.5976072134759931,10782,rerun/survivor
tamborlane_2008,Tamborlane,patchtst,3.240273725462494,3.2066342396893326,3.2739812983800767,0.9377474512868108,0.6584628208034362,0.5871557692928074,10782,rerun/survivor
tamborlane_2008,Tamborlane,tft,3.3157090769369946,3.2792552772979384,3.351695721396981,0.9439479888935933,0.6487185481128868,0.5784374946008326,10782,rerun/survivor
tamborlane_2008,Tamborlane,ttm,3.2575103117188133,3.2247145542566322,3.290170797127686,,0.6539835424313493,0.578326106834249,10782,rerun/survivor
tamborlane_2008,Tamborlane,moment,3.5069515713687487,3.473694961170893,3.5413892091494774,,0.650522817693848,0.5274252731095366,10782,rerun/survivor
tamborlane_2008,Tamborlane,tide,3.302286779445118,3.268601694602258,3.336489759907374,0.9618415746201081,0.6539914617099248,0.5840528622493351,10782,rerun/survivor
