dataset,dataset_label,model,axis,group,n,n_hypo,base_rate,rmse,auroc,auprc
tamborlane_2008,Tamborlane,moirai,age,younger(<18),3724,1275,0.34237379162191195,3.721459165807424,0.6935403806275472,0.5809254999266352
tamborlane_2008,Tamborlane,toto,sex,F,5597,2243,0.400750402001072,3.32748130199228,0.6701755624269077,0.6083948239354924
tamborlane_2008,Tamborlane,toto,sex,M,5185,1909,0.3681774349083896,3.353043672581564,0.6860987507923076,0.5956283424818638
tamborlane_2008,Tamborlane,toto,age,older(>=18),7058,2877,0.4076225559648626,3.1169753474409245,0.6751369657512671,0.6174569867491311
tamborlane_2008,Tamborlane,toto,age,younger(<18),3724,1275,0.34237379162191195,3.7257241347382797,0.6742247736170827,0.5656342219160007
tamborlane_2008,Tamborlane,patchtst,sex,F,5597,2243,0.400750402001072,3.2355610453253827,0.6829241626569749,0.6151272957890193
tamborlane_2008,Tamborlane,patchtst,sex,M,5185,1909,0.3681774349083896,3.245353194376643,0.6875326597039536,0.5993139062632299
tamborlane_2008,Tamborlane,patchtst,age,older(>=18),7058,2877,0.4076225559648626,3.022447478542548,0.6838675581650842,0.6221634675960508
tamborlane_2008,Tamborlane,patchtst,age,younger(<18),3724,1275,0.34237379162191195,3.6173026062005023,0.6809599756603336,0.5758245437855278
tamborlane_2008,Tamborlane,tft,sex,F,5597,2243,0.400750402001072,3.2957797551360057,0.6216818852849294,0.552641553677269
tamborlane_2008,Tamborlane,tft,sex,M,5185,1909,0.3681774349083896,3.337088404012819,0.6404075451351512,0.5478043803085353
tamborlane_2008,Tamborlane,tft,age,older(>=18),7058,2877,0.4076225559648626,3.099599707157957,0.6240720867036996,0.5622681598538751
tamborlane_2008,Tamborlane,tft,age,younger(<18),3724,1275,0.34237379162191195,3.6907384382810364,0.639118968126246,0.5244070865450343
