dataset,dataset_label,model,score,n,n_hypo,base_rate,operating_point,thr,tp,fp,fn,tn,sens,spec,ppv,npv,fp_per100,alarms_per100
lynch_2022,IOBP2,chronos2,prob,2928,597,0.2038934426229508,youden,0.11019554116328306,218,172,379,2159,0.36515912897822445,0.9262119262119262,0.558974358974359,0.8506698187549251,5.8743169398907105,13.319672131147541
lynch_2022,IOBP2,moirai,prob,2928,597,0.2038934426229508,sens90,0.1,597,2331,0,0,1.0,0.0,0.2038934426229508,,79.61065573770492,100.0
lynch_2022,IOBP2,moirai,prob,2928,597,0.2038934426229508,sens80,0.10671626170800173,478,1256,119,1075,0.8006700167504187,0.46117546117546115,0.27566320645905423,0.9003350083752094,42.89617486338798,59.221311475409834
lynch_2022,IOBP2,moirai,prob,2928,597,0.2038934426229508,youden,0.17015740770619475,325,552,272,1779,0.5443886097152428,0.7631917631917632,0.37058152793614596,0.8673817649926865,18.852459016393443,29.952185792349727
lynch_2022,IOBP2,toto,prob,2928,597,0.2038934426229508,sens90,0.11965202436057606,538,1701,59,630,0.9011725293132329,0.2702702702702703,0.24028584189370256,0.9143686502177069,58.09426229508197,76.46857923497268
lynch_2022,IOBP2,toto,prob,2928,597,0.2038934426229508,sens80,0.14230179302753238,478,1321,119,1010,0.8006700167504187,0.43329043329043326,0.26570316842690384,0.8945969884853853,45.11612021857923,61.44125683060109
lynch_2022,IOBP2,toto,prob,2928,597,0.2038934426229508,youden,0.16627687046829737,400,885,197,1446,0.6700167504187605,0.6203346203346203,0.311284046692607,0.8800973828362751,30.225409836065573,43.88661202185792
lynch_2022,IOBP2,patchtst,prob,2928,597,0.2038934426229508,sens90,0.1,597,2331,0,0,1.0,0.0,0.2038934426229508,,79.61065573770492,100.0
lynch_2022,IOBP2,patchtst,prob,2928,597,0.2038934426229508,sens80,0.1,597,2331,0,0,1.0,0.0,0.2038934426229508,,79.61065573770492,100.0
lynch_2022,IOBP2,patchtst,prob,2928,597,0.2038934426229508,youden,0.10633404385112626,337,646,260,1685,0.5644891122278057,0.7228657228657228,0.34282807731434384,0.8663239074550129,22.062841530054644,33.572404371584696
lynch_2022,IOBP2,tft,prob,2928,597,0.2038934426229508,sens90,0.1,597,2331,0,0,1.0,0.0,0.2038934426229508,,79.61065573770492,100.0
lynch_2022,IOBP2,tft,prob,2928,597,0.2038934426229508,sens80,0.1,597,2331,0,0,1.0,0.0,0.2038934426229508,,79.61065573770492,100.0
lynch_2022,IOBP2,tft,prob,2928,597,0.2038934426229508,youden,0.10070526774460628,173,155,424,2176,0.2897822445561139,0.9335049335049335,0.5274390243902439,0.8369230769230769,5.293715846994536,11.202185792349727
lynch_2022,IOBP2,deepar,prob,2928,597,0.2038934426229508,sens90,0.1,597,2331,0,0,1.0,0.0,0.2038934426229508,,79.61065573770492,100.0
lynch_2022,IOBP2,deepar,prob,2928,597,0.2038934426229508,sens80,0.1,597,2331,0,0,1.0,0.0,0.2038934426229508,,79.61065573770492,100.0
lynch_2022,IOBP2,deepar,prob,2928,597,0.2038934426229508,youden,0.1939165369336014,172,231,425,2100,0.288107202680067,0.9009009009009009,0.4267990074441687,0.8316831683168316,7.889344262295082,13.763661202185792
tamborlane_2008,Tamborlane,chronos2,prob,10782,4152,0.3850862548692265,sens90,0.1,4152,6630,0,0,1.0,0.0,0.3850862548692265,,61.49137451307735,100.0
tamborlane_2008,Tamborlane,chronos2,prob,10782,4152,0.3850862548692265,sens80,0.1,4152,6630,0,0,1.0,0.0,0.3850862548692265,,61.49137451307735,100.0
tamborlane_2008,Tamborlane,chronos2,prob,10782,4152,0.3850862548692265,youden,0.10032689542751996,1836,1102,2316,5528,0.4421965317919075,0.8337858220211162,0.6249149081007488,0.704742478327384,10.220738267482842,27.249118901873494
tamborlane_2008,Tamborlane,moirai,prob,10782,4152,0.3850862548692265,sens90,0.1,4152,6630,0,0,1.0,0.0,0.3850862548692265,,61.49137451307735,100.0
tamborlane_2008,Tamborlane,moirai,prob,10782,4152,0.3850862548692265,sens80,0.1,4152,6630,0,0,1.0,0.0,0.3850862548692265,,61.49137451307735,100.0
tamborlane_2008,Tamborlane,moirai,prob,10782,4152,0.3850862548692265,youden,0.13879563798539765,2478,2159,1674,4471,0.596820809248555,0.6743589743589744,0.5343972395945654,0.7275834011391376,20.02411426451493,43.006863290669635
tamborlane_2008,Tamborlane,toto,prob,10782,4152,0.3850862548692265,sens90,0.10669678309167631,3737,4921,415,1709,0.9000481695568401,0.2577677224736048,0.43162393162393164,0.8046139359698682,45.640882953069934,80.30050083472455
tamborlane_2008,Tamborlane,toto,prob,10782,4152,0.3850862548692265,sens80,0.13566603008688294,3322,3956,830,2674,0.8000963391136802,0.4033182503770739,0.4564440780434185,0.7631278538812786,36.6907809311816,67.50139120756818
tamborlane_2008,Tamborlane,toto,prob,10782,4152,0.3850862548692265,youden,0.18637292040872722,2483,2266,1669,4364,0.5980250481695568,0.6582202111613876,0.5228469151400295,0.7233548814851649,21.016508996475608,44.04563160823595
tamborlane_2008,Tamborlane,patchtst,prob,10782,4152,0.3850862548692265,sens90,0.1,4152,6630,0,0,1.0,0.0,0.3850862548692265,,61.49137451307735,100.0
tamborlane_2008,Tamborlane,patchtst,prob,10782,4152,0.3850862548692265,sens80,0.1,4152,6630,0,0,1.0,0.0,0.3850862548692265,,61.49137451307735,100.0
tamborlane_2008,Tamborlane,patchtst,prob,10782,4152,0.3850862548692265,youden,0.11146480646887572,2659,2370,1493,4260,0.6404142581888247,0.6425339366515838,0.5287333465897793,0.740483226142882,21.9810795770729,46.642552402151736
tamborlane_2008,Tamborlane,tft,prob,10782,4152,0.3850862548692265,sens90,0.1,4152,6630,0,0,1.0,0.0,0.3850862548692265,,61.49137451307735,100.0
tamborlane_2008,Tamborlane,tft,prob,10782,4152,0.3850862548692265,sens80,0.1,4152,6630,0,0,1.0,0.0,0.3850862548692265,,61.49137451307735,100.0
tamborlane_2008,Tamborlane,tft,prob,10782,4152,0.3850862548692265,youden,0.105433619389872,1719,1210,2433,5420,0.41401734104046245,0.8174962292609351,0.5868897234551042,0.6901820960142621,11.222407716564645,27.16564644778334
tamborlane_2008,Tamborlane,deepar,prob,10782,4152,0.3850862548692265,sens90,0.1,4152,6630,0,0,1.0,0.0,0.3850862548692265,,61.49137451307735,100.0
tamborlane_2008,Tamborlane,deepar,prob,10782,4152,0.3850862548692265,sens80,0.11927181570396861,3322,4274,830,2356,0.8000963391136802,0.35535444947209655,0.43733543970510796,0.7394852479598242,39.64014097570024,70.45075125208682
tamborlane_2008,Tamborlane,deepar,prob,10782,4152,0.3850862548692265,youden,0.18879607641818202,1968,1687,2184,4943,0.47398843930635837,0.7455505279034691,0.5384404924760602,0.693559702539638,15.646447783342609,33.899091077722126
