dataset,dataset_label,model_a,model_b,wilcoxon_stat,p_raw,p_holm,rank_biserial,mean_rmse_diff,significant_holm
aleppo_2017,Replace-BG,patchtst,moment,318.0,3.743475858293464e-36,1.6096946190661895e-34,-0.9740736211324447,-0.5730529777424747,True
aleppo_2017,Replace-BG,tft,ttm,5393.0,5.130122231218342e-13,1.4364342247411358e-11,-0.5603114426643838,-0.1416506752791733,True
aleppo_2017,Replace-BG,tft,tide,6625.0,3.0816521382673805e-09,6.16330427653476e-08,-0.45986710692593047,-0.09552108002172233,True
aleppo_2017,Replace-BG,tft,deepar,2996.0,2.022786073771576e-22,6.877472650823359e-21,-0.7557376380905793,-0.23672169024284972,True
aleppo_2017,Replace-BG,tft,moment,674.0,3.940862906928123e-34,1.536936533701968e-32,-0.9450491215197098,-0.6459715742228775,True
aleppo_2017,Replace-BG,ttm,tide,8086.0,1.1234859365806018e-05,0.00014605317175547824,0.34075251722310546,0.04612959525745097,True
aleppo_2017,Replace-BG,ttm,deepar,9188.0,0.0012210389819726063,0.012210389819726063,-0.25090701561289797,-0.09507101496367643,True
aleppo_2017,Replace-BG,ttm,moment,246.0,1.4352382981079259e-36,6.458572341485666e-35,-0.979943744649627,-0.5043208989437042,True
aleppo_2017,Replace-BG,tide,deepar,6647.0,3.5464095682341848e-09,6.383537222821532e-08,-0.45807345807345806,-0.1412006102211274,True
aleppo_2017,Replace-BG,tide,moment,328.0,4.274704955098509e-36,1.7953760811413738e-34,-0.9732583261995027,-0.5504504942011552,True
aleppo_2017,Replace-BG,deepar,moment,2558.0,1.964415654128553e-24,7.071896354862791e-23,-0.7914475561534385,-0.4092498839800278,True
brown_2019,DCLP3,chronos2,moirai,1801.0,8.067141783288373e-17,2.097456863654977e-15,-0.7432278300541774,-0.11355728243068297,True
brown_2019,DCLP3,chronos2,toto,285.0,5.750025919791622e-27,2.1850098495208165e-25,-0.9593669803250642,-0.3134050995821225,True
brown_2019,DCLP3,chronos2,timesfm,2788.0,1.4477106538629357e-11,2.8954213077258715e-10,-0.6025092671799258,-0.09657447495498106,True
brown_2019,DCLP3,chronos2,patchtst,3445.0,1.1759440991639027e-08,1.763916148745854e-07,-0.5088394639292843,-0.09211645785656408,True
brown_2019,DCLP3,chronos2,tft,6047.0,0.12228747110943688,0.7337248266566213,-0.13786712289706302,-0.024816250056579392,False
brown_2019,DCLP3,chronos2,ttm,1437.0,5.015904959269844e-19,1.4546124381882548e-17,-0.7951240376390077,-0.1755651602276842,True
brown_2019,DCLP3,chronos2,tide,3154.0,6.907671702294691e-10,1.3124576234359912e-08,-0.5503279155973767,-0.09811282285461687,True
brown_2019,DCLP3,chronos2,deepar,1909.0,3.4155157635683914e-16,8.538789408920978e-15,-0.7278300541773596,-0.2439932680474879,True
brown_2019,DCLP3,chronos2,moment,159.0,6.348705854065622e-28,2.602969400166905e-26,-0.9773310521813516,-0.6363956848243482,True
brown_2019,DCLP3,moirai,toto,1209.0,1.755441529383179e-20,5.441868741087855e-19,-0.8276304533789564,-0.1998478171514395,True
