dataset,dataset_label,model,metric,point,lo,hi,n,unit
lynch_2022,IOBP2,timesfm,rmse,2.423418042103183,2.2612330804995673,2.5871743255002886,2928,patient
lynch_2022,IOBP2,timesfm,wql,0.6806695016646158,0.6414943033175007,0.7218132564334929,2928,patient
lynch_2022,IOBP2,timesfm,auroc,0.6289412168809153,0.6052373978080551,0.6514619570486656,2928,patient
lynch_2022,IOBP2,timesfm,auprc,0.39183886641229226,0.34458634292347795,0.4380428402481795,2928,patient
lynch_2022,IOBP2,ttm,rmse,2.5185909981485666,2.373813599419616,2.667812143657619,2928,patient
lynch_2022,IOBP2,ttm,wql,,,,2928,patient
lynch_2022,IOBP2,moirai,rmse,2.4346712096570453,2.2912577585083107,2.5780709320305895,2928,patient
lynch_2022,IOBP2,moirai,wql,0.6785577991305015,0.6410102962321766,0.7171399386806885,2928,patient
lynch_2022,IOBP2,moirai,auroc,0.7048466269571797,0.6739677245293153,0.7331527518509908,2928,patient
lynch_2022,IOBP2,moirai,auprc,0.45530590853175457,0.40381063588005356,0.5052151050538313,2928,patient
lynch_2022,IOBP2,toto,rmse,2.5706321735284234,2.42317339383163,2.7191399085234305,2928,patient
lynch_2022,IOBP2,toto,wql,0.7582782246376453,0.7183265321182968,0.7996375543627694,2928,patient
lynch_2022,IOBP2,toto,auroc,0.699387111447413,0.6683006043412228,0.7301838488240803,2928,patient
lynch_2022,IOBP2,toto,auprc,0.4487209846883212,0.3951101248597231,0.5025913378846182,2928,patient
lynch_2022,IOBP2,deepar,rmse,2.629881776926638,2.472111772611315,2.79054603166918,2928,patient
lynch_2022,IOBP2,deepar,wql,0.7800569172056889,0.74002461829928,0.8225055070580708,2928,patient
lynch_2022,IOBP2,deepar,auroc,0.607611919169708,0.571670349420915,0.6430882467147706,2928,patient
lynch_2022,IOBP2,deepar,auprc,0.3748097867244472,0.32431260204793083,0.4264540389154748,2928,patient
lynch_2022,IOBP2,tide,rmse,2.5143690809214956,2.370248925963251,2.6620576015401007,2928,patient
lynch_2022,IOBP2,tide,wql,0.7195863892340818,0.6809507708139467,0.760877420059485,2928,patient
lynch_2022,IOBP2,tide,auroc,0.6054173340605502,0.5780964106055974,0.6335639986191718,2928,patient
lynch_2022,IOBP2,tide,auprc,0.35809848266181166,0.315183258436239,0.40288129173659554,2928,patient
tamborlane_2008,Tamborlane,chronos2,rmse,3.2697369002867704,3.1504741964907153,3.3901328137231594,10782,patient
tamborlane_2008,Tamborlane,chronos2,wql,0.93121390379931,0.8956463101965905,0.9678597826392333,10782,patient
tamborlane_2008,Tamborlane,chronos2,auroc,0.6506500528920625,0.6337086492581456,0.6677689313243592,10782,patient
tamborlane_2008,Tamborlane,chronos2,auprc,0.5689359425430904,0.5373500858644238,0.6005358005127276,10782,patient
tamborlane_2008,Tamborlane,tft,rmse,3.3157090769369946,3.1946346803368564,3.4376667740021083,10782,patient
tamborlane_2008,Tamborlane,tft,wql,0.9439479888935933,0.9076098884873087,0.9808385782057728,10782,patient
tamborlane_2008,Tamborlane,tft,auroc,0.629955034481556,0.6111860301059039,0.6485485392978292,10782,patient
tamborlane_2008,Tamborlane,tft,auprc,0.5493114086444013,0.5193692683633296,0.5797326181655438,10782,patient
tamborlane_2008,Tamborlane,patchtst,rmse,3.240273725462494,3.1235737980096907,3.3585848681290704,10782,patient
tamborlane_2008,Tamborlane,patchtst,wql,0.9377474512868108,0.9027570713782149,0.9738041467688444,10782,patient
tamborlane_2008,Tamborlane,patchtst,auroc,0.6848349992879915,0.6695323946424335,0.6996951305878268,10782,patient
tamborlane_2008,Tamborlane,patchtst,auprc,0.6071546684836899,0.5786131262869926,0.6347887781093184,10782,patient
tamborlane_2008,Tamborlane,timesfm,rmse,3.261152576051211,3.1430480838595556,3.3822138365997128,10782,patient
tamborlane_2008,Tamborlane,timesfm,wql,0.9379954401390572,0.9023501473599368,0.9750410705684336,10782,patient
tamborlane_2008,Tamborlane,timesfm,auroc,0.6171922997003753,0.6036806572832537,0.6313658299039543,10782,patient
tamborlane_2008,Tamborlane,timesfm,auprc,0.5353188726031048,0.5063261839590003,0.5644402438529956,10782,patient
tamborlane_2008,Tamborlane,ttm,rmse,3.2575103117188133,3.1410239355581084,3.374361749253464,10782,patient
tamborlane_2008,Tamborlane,ttm,wql,,,,10782,patient
tamborlane_2008,Tamborlane,moirai,rmse,3.3417852662528666,3.2213926699939983,3.4632888835500384,10782,patient
tamborlane_2008,Tamborlane,moirai,wql,0.972039668728225,0.9347054705765738,1.0097923303457466,10782,patient
tamborlane_2008,Tamborlane,moirai,auroc,0.6851750378526985,0.6672681598152768,0.7032939761087219,10782,patient
tamborlane_2008,Tamborlane,moirai,auprc,0.6035480377274476,0.5746854413824513,0.6326483514763005,10782,patient
tamborlane_2008,Tamborlane,toto,rmse,3.3397985154988477,3.221312260811781,3.460388308703241,10782,patient
tamborlane_2008,Tamborlane,toto,wql,0.9682322854245121,0.9319358591420964,1.0056694119628093,10782,patient
tamborlane_2008,Tamborlane,toto,auroc,0.677665999703572,0.6569786799360637,0.6981733797430518,10782,patient
tamborlane_2008,Tamborlane,toto,auprc,0.6017189758977255,0.573408306792656,0.629914316921792,10782,patient
tamborlane_2008,Tamborlane,deepar,rmse,3.53740394778911,3.4123999353760217,3.6660100201023464,10782,patient
tamborlane_2008,Tamborlane,deepar,wql,1.016582809609567,0.9808766574767822,1.0533665693262304,10782,patient
tamborlane_2008,Tamborlane,deepar,auroc,0.6530230756153061,0.6359813552235232,0.6693467336021747,10782,patient
tamborlane_2008,Tamborlane,deepar,auprc,0.5829986680011959,0.5498567885915552,0.6143556836241655,10782,patient
tamborlane_2008,Tamborlane,tide,rmse,3.302286779445118,3.185225698011716,3.421016605242445,10782,patient
tamborlane_2008,Tamborlane,tide,wql,0.9618415746201081,0.9249220654526871,0.9991122767997115,10782,patient
tamborlane_2008,Tamborlane,tide,auroc,0.6475531790454435,0.6321028995137488,0.6633681789199585,10782,patient
tamborlane_2008,Tamborlane,tide,auprc,0.5698239967591386,0.5418168868378971,0.5973358748475197,10782,patient
